pet_name,disease_name,treatment
Dog,Parvovirus,"Strict isolation with intensive intravenous fluid therapy; antiemetics; antibiotics to prevent secondary infections; and high-calorie nutritional support under veterinary supervision."
Cat,Feline Calicivirus,"Supportive care including hydration therapy; pain management; use of humidifier for respiratory congestion; and regular cleaning of eye and nasal discharge."
Dog,Rabies,"No curative treatment available once symptoms appear; immediate quarantine; euthanasia if required; and mandatory reporting to public health authorities."
Cat,Feline Leukemia,"Long-term supportive care with antiviral and immunomodulatory therapy; high-protein diet; stress reduction; and routine monitoring for secondary infections."
Dog,Sarcoptic Mange,"Veterinarian-prescribed antiparasitic medications; medicated sulfur or benzoyl peroxide shampoos; treatment of all in-contact animals; and environmental decontamination."
Dog,Canine Distemper,"Supportive treatment including fluids; antipyretics; antibiotics for secondary infections; anticonvulsants if neurological signs are present; and strict isolation."
Cat,Feline Panleukopenia,"Aggressive fluid therapy; broad-spectrum antibiotics; anti-nausea medications; nutritional support; and strict hygiene to prevent viral spread."
Dog,Canine Kennel Cough,"Rest; cough suppressants; antibiotics if bacterial infection is suspected; nebulization; and isolation from other dogs until recovery."
Cat,Upper Respiratory Infection,"Supportive care with hydration; steam therapy; nasal cleaning; appetite stimulants; and antibiotics if bacterial involvement is confirmed."
Dog,Tick Fever (Ehrlichiosis),"Long-term antibiotic therapy such as doxycycline; supportive care; tick control measures; and regular blood parameter monitoring."
Cat,Ear Mites,"Topical or systemic antiparasitic medications; thorough ear cleaning; and treatment of all pets in the household to prevent reinfestation."
Dog,Hot Spot (Acute Dermatitis),"Clipping and cleaning of affected area; topical antiseptics; anti-inflammatory medications; antibiotics if infection is present; and addressing underlying causes."
Cat,Ringworm,"Topical antifungal treatments; oral antifungals in severe cases; environmental disinfection; and isolation to prevent transmission."
Dog,Canine Arthritis,"Pain management with NSAIDs; joint supplements; weight management; physiotherapy; and controlled exercise routines."
Cat,Chronic Kidney Disease,"Renal-support diet; fluid therapy; blood pressure management; phosphate binders; and routine monitoring of kidney function."
